,station_name,month,South_Vert_Solar,East_Vert_Solar,West_Vert_Solar,North_Vert_Solar,HorizSol
0,ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,1,243.43901717662814,72.79012671411039,70.25574085414411,40.92269578278065,90.81691716313362
1,ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,2,836.8733762025834,284.69641481637956,299.8064879536629,116.57167552113533,340.27315871715547
2,ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,3,986.2269330739975,503.60981959104544,532.1987656474114,230.23386322259904,705.3617899417877
3,ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,4,1120.4000308513641,789.0461563825608,747.6761487722397,354.94987814426423,1118.6848362207413
4,ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,5,1027.1950376272202,929.6110701799394,893.7786455869675,519.2055255889893,1421.6777818679811
5,ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,6,1125.3336252450945,1067.4505127191544,1109.2750427484514,633.8213447213174,1746.6917036533357
6,ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,7,1029.1443732976913,878.9122394084931,934.2911692857743,553.6591868162155,1473.4585604667664
7,ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,8,951.2188028812409,740.7074854373932,837.1300467967988,424.342606651783,1162.6443817377092
8,ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,9,839.2241613149644,417.25475592613225,540.1833001971245,233.95902675390246,695.0517971277237
9,ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,10,499.6814364552498,244.90009279847146,238.3422347187996,130.46765705645086,335.81559566259386
10,ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,11,437.8544422745705,134.00672495663167,125.79705551862718,58.24277266860009,142.57778394520284
11,ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,12,142.0209996521473,40.53792614936829,38.63468439728022,25.170159421116114,53.276957421004774
12,ANNETTE WEATHER SERVICE OFFICE AIRPORT AK US,1,381.5663919568062,146.35260888934135,134.11487437784672,74.86253385543824,183.8926867604256
13,ANNETTE WEATHER SERVICE OFFICE AIRPORT AK US,2,608.0417887330055,278.7272925496102,293.8512765526772,145.50718358159065,385.94037641286855
14,ANNETTE WEATHER SERVICE OFFICE AIRPORT AK US,3,783.8809158325196,470.7213953733445,475.72976067066196,242.1822384953499,689.0646058559419
15,ANNETTE WEATHER SERVICE OFFICE AIRPORT AK US,4,913.5950519084931,710.0090019464493,802.1783160924912,370.0717830777169,1136.2491187334062
16,ANNETTE WEATHER SERVICE OFFICE AIRPORT AK US,5,882.8230827569962,797.0767328739167,853.0375754356385,491.6578531980515,1360.5132170677186
17,ANNETTE WEATHER SERVICE OFFICE AIRPORT AK US,6,916.2556561946869,890.3124207258226,1053.498443555832,613.7654295802117,1616.0174154281617
18,ANNETTE WEATHER SERVICE OFFICE AIRPORT AK US,7,829.1216218471528,816.1941181898118,975.7893231868744,575.420165848732,1424.7809633731842
19,ANNETTE WEATHER SERVICE OFFICE AIRPORT AK US,8,981.9151695013047,806.2406669139863,900.413372540474,437.60019096136097,1329.456755590439
20,ANNETTE WEATHER SERVICE OFFICE AIRPORT AK US,9,709.7288189649582,465.49926391839983,483.38398776054385,276.9987351715565,747.7909134149552
21,ANNETTE WEATHER SERVICE OFFICE AIRPORT AK US,10,502.49354821443563,282.01526554226876,275.3432098388672,171.17509353160858,416.99952178001405
22,ANNETTE WEATHER SERVICE OFFICE AIRPORT AK US,11,356.61396546363835,144.27171536386015,151.3385769367218,89.0465326845646,209.80048354268075
23,ANNETTE WEATHER SERVICE OFFICE AIRPORT AK US,12,304.4180722653866,96.23929137289525,107.75408612787724,54.29204898476601,128.91291934847834
24,BARROW W POST W ROGERS AIRPORT AK US,1,10.49965712092817,0.7483919688966125,0.7807745856000111,0.1227483881637454,0.44316110828658567
25,BARROW W POST W ROGERS AIRPORT AK US,2,357.6113518595696,85.12212813198568,93.87817706465722,34.259015422314405,82.44668684899807
26,BARROW W POST W ROGERS AIRPORT AK US,3,1169.3405735492706,479.8928896665573,503.51905875205995,157.54156618416312,494.7702582120896
27,BARROW W POST W ROGERS AIRPORT AK US,4,1316.726498937607,882.7664564609528,917.2561800956727,397.7658975720406,1099.5629147529603
28,BARROW W POST W ROGERS AIRPORT AK US,5,1163.6987346410751,987.1263763904573,1028.3479006290436,670.5770652294159,1460.0005538463593
29,BARROW W POST W ROGERS AIRPORT AK US,6,975.0255864143372,949.5448872327805,949.8131250143052,750.7103051662446,1432.9319746971132
30,BARROW W POST W ROGERS AIRPORT AK US,7,1061.80081114769,957.1670588493348,971.6539403200151,679.3514194250107,1382.9363230705262
31,BARROW W POST W ROGERS AIRPORT AK US,8,768.6409575462342,608.958469426632,596.1373763322831,383.59741616249084,876.545199751854
32,BARROW W POST W ROGERS AIRPORT AK US,9,384.8752123475075,254.47384926080704,270.25895850062375,179.8919142007828,395.6642606019974
33,BARROW W POST W ROGERS AIRPORT AK US,10,275.4364088594914,107.54764396548272,122.17132821679117,71.30696097761393,156.96333912312986
34,BARROW W POST W ROGERS AIRPORT AK US,11,44.60088179111481,7.8201203070580965,8.175742211379111,3.8143987348303203,8.302075813338162
35,BARROW W POST W ROGERS AIRPORT AK US,12,0.0,0.0,0.0,0.0,0.0
36,BETHEL AIRPORT AK US,1,341.74241831302646,89.90026482045651,100.68980449140072,44.996070398390295,106.71018527448179
